2022-12-20 17:22:27 INFO  HomePage :49 - Click on login link : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> link text: Log in]
2022-12-20 17:22:28 INFO  LoginPage :48 - Enter email : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> id: Email]
2022-12-20 17:22:28 INFO  LoginPage :53 - Enter password : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> name: Password]
2022-12-20 17:22:28 INFO  LoginPage :58 - Click on login button : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> xpath: //button[contains(text(),'Log in')]]
2022-12-20 17:22:28 INFO  HomePage :70 - Click on log out link : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> xpath: //a[normalize-space()='Log out']]
2022-12-20 17:22:29 INFO  HomePage :55 - Check login link is displayed : [[ChromeDriver: chrome on WINDOWS (14b2a44cea0e3f9b7c691decd4ea3343)] -> link text: Log in]
2022-12-20 17:22:32 INFO  HomePage :60 - Click on register link : [[ChromeDriver: chrome on WINDOWS (51b3ba1b880110bf9b0eac6733b631c8)] -> link text: Register]
2022-12-20 17:22:32 INFO  RegisterPage :82 - Get register text : [[ChromeDriver: chrome on WINDOWS (51b3ba1b880110bf9b0eac6733b631c8)] -> css selector: div[class='page-title'] h1]
2022-12-20 17:22:35 INFO  HomePage :60 - Click on register link : [[ChromeDriver: chrome on WINDOWS (eb84b1c6c6299feb53f100be636a990f)] -> link text: Register]
2022-12-20 17:22:36 INFO  RegisterPage :129 - Click on register button : [[ChromeDriver: chrome on WINDOWS (eb84b1c6c6299feb53f100be636a990f)] -> css selector: #register-button]
